,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6
187,0.10028,0.12212,0.55577,0.0094632,0.94841,0.20687
188,0.72254,0.070204,0.55577,0.0094632,0.41835,0.20687
189,1.7128,0.070204,4.0387,1.0815,0.20052,0.82038
190,1.7128,1.4896,1.6783,1.0815,0.20052,0.82038
191,3.7267,1.4896,1.0866,4.9302,3.6928,4.6038
192,0.05579,0.97745,2.6484,4.9302,3.6928,0.69248
193,0.05579,0.97745,2.6484,0.048923,0.21978,0.69248
194,4.144,0.57016,2.1132,0.048923,0.21978,0.45895
195,2.7809,0.57016,2.1132,3.4332,0.89633,0.45895
196,4.0766,0.21979,7.8742,6.8226,0.89633,4.7446
197,1.9769,0.21979,2.1392,3.3978,0.304,4.7446
198,1.9769,0.34202,1.8683,3.3978,1.9749,2.6727
199,3.7055,0.34202,1.8683,1.6443,1.9749,1.267
200,1.3854,0.72985,1.6058,0.31668,0.25899,1.267
201,2.5816,0.70519,0.42172,1.4865,0.13446,4.9028
202,0.30072,0.70519,0.42172,1.4865,0.13446,3.7193
203,0.30072,0.9418,1.6663,1.3992,0.074695,4.9028
204,1.3083,0.97425,0.19082,2.0319,0.074695,4.9028
205,3.7698,0.97425,0.19082,0.51897,2.5543,0.98564
206,1.5941,0.8413,2.3477,0.51897,0.22933,0.98564
207,1.5941,0.8413,0.025812,1.335,2.5543,1.5197
208,2.1601,6.7613,0.025812,2.4447,3.9744,1.5197
209,2.1601,4.3164,1.0737,0.87917,1.5919,0.93837
210,0.19675,3.3277,0.8059,0.87917,1.5919,4.7149
211,0.19675,0.29914,1.0737,2.6837,2.5518,4.3625
212,0.87245,3.3277,1.0737,0.65761,2.5518,1.1161
213,0.87245,0.19434,1.0441,1.1134,1.7674,1.1161
214,1.4872,0.19434,0.038054,1.3235,0.96103,0.69876
215,0.95162,0.89303,0.038054,0.039441,2.4432,2.2169
216,4.1364,0.46602,1.1865,0.039441,0.02631,2.0027
217,1.2601,0.46602,2.0539,1.6423,1.5878,1.3187
218,1.2601,2.5797,0.15922,0.38092,0.87863,4.5676
219,0.44101,2.5797,0.15922,0.1738,0.65107,4.5676
220,0.44101,0.078932,4.5482,0.38092,0.65107,6.6574
221,1.1682,0.078932,4.5482,0.38092,0.088636,8.5035
222,0.70496,0.62393,4.5813,3.8179,0.088636,2.2793
223,0.70496,0.0889,0.25142,1.504,0.5237,2.2793
224,1.8208,0.0889,1.4539,1.504,0.5237,1.0909
225,1.8208,0.23447,0.24278,1.0147,7.1466,1.0909
226,1.0551,0.23447,0.24278,1.017,1.9351,4.8679
227,1.0551,0.059802,6.9097,0.34893,1.2525,0.24877
228,0.20453,0.059802,0.25874,0.34893,0.42095,1.2033
229,0.20453,1.0274,0.25874,9.162,1.8722,1.9996
230,2.5808,1.0274,7.3597,5.2987,0.56089,1.9996
231,2.5808,0.91049,5.5209,2.1335,0.56089,10.013
232,3.3275,0.91049,1.1268,5.2987,0.68471,6.9989
233,0.71396,0.5917,4.7392,0.87027,0.68471,0.10126
234,0.71396,0.080594,2.3378,0.87027,2.0316,5.0662
235,6.3359,0.080594,2.3378,1.1796,1.5892,5.0662
236,5.8918,0.088641,3.7706,0.41792,0.11012,0.39292
237,5.8918,0.086163,2.1527,2.0566,1.5892,0.39292
238,0.079984,0.088641,0.78404,2.0566,0.96294,0.25771
239,0.079984,0.088641,0.78404,2.7813,0.695,5.8953
240,1.888,1.4983,11.059,2.7813,0.695,6.0932
241,1.888,0.067957,4.8871,4.0635,7.77,3.9487
242,4.3395,0.40697,4.8871,4.0635,1.2183,4.9431
243,4.3395,0.40697,5.4254,5.4287,0.21776,1.1972
244,4.248,1.9675,5.4254,0.59521,0.21776,1.5388
245,3.5312,1.0907,1.3747,0.070377,0.17729,0.5222
246,3.2821,1.0907,4.2881,0.59521,0.17729,0.3555
247,3.2821,0.25868,0.54268,0.59521,0.20496,0.3555
248,14.085,0.083489,0.54268,1.801,0.59628,0.63098
249,4.0213,0.25868,2.3737,0.65829,2.9845,0.63098
250,1.7005,0.25868,1.3841,2.73,2.4499,0.57421
251,1.1527,3.3113,5.2404,2.0074,2.2959,0.091036
252,1.1527,2.6963,5.2404,2.0074,2.2959,0.091036
253,6.4245,0.8048,0.91024,0.60927,3.6178,2.229
254,6.4245,0.14132,3.0546,0.60927,3.6178,2.229
255,7.5723,0.14132,1.3172,1.4754,0.096354,2.8536
256,9.3892,0.051061,1.3172,1.4754,0.43263,2.3313
257,9.3892,0.2856,7.9265,9.0155,0.43263,9.5812
258,2.302,0.2856,7.9265,10.195,1.1535,1.27
259,2.302,1.2544,1.73,1.5751,0.41113,1.27
260,0.17805,1.2544,1.73,0.6966,0.78992,1.3614
261,0.17805,2.4513,1.1504,0.68702,0.78992,1.3614
262,0.96473,2.4513,1.1504,0.68702,5.9841,2.3789
263,0.96473,0.51114,4.1444,1.9446,5.9841,2.9942
264,0.75941,0.15504,4.1444,1.9446,2.0401,1.9787
265,2.9428,0.23785,2.4761,0.82591,0.50608,2.9942
266,2.2139,0.23785,2.128,0.82591,3.3323,1.4053
267,2.2139,1.8311,1.0321,1.6257,4.0725,2.1787
268,2.4178,0.82934,2.128,1.9402,4.0725,1.6316
269,2.4178,0.82934,2.5225,0.81548,4.2226,0.1109
270,5.3131,0.026079,6.1183,0.81548,1.6484,0.1109
271,5.3131,0.026079,6.1183,6.6917,0.63911,2.0165
272,0.95643,2.5922,1.8579,4.5556,0.63911,2.0165
273,0.95643,0.18208,3.301,4.5556,0.19272,3.5143
274,1.1094,0.18208,3.8526,1.5527,0.19272,0.13888
275,0.31399,0.76792,0.76558,1.0672,0.33725,0.50576
276,3.7049,0.76792,0.76558,1.0672,0.29083,5.3527
277,10.293,1.8218,1.5591,1.4612,0.29083,0.017518
278,4.4081,1.8218,0.14177,2.1647,0.08514,0.017518
279,3.1447,0.93789,0.14177,2.1647,0.08514,2.5231
280,1.8303,0.73005,6.1764,1.6583,0.044095,2.6825
281,1.9504,0.73005,0.12489,1.1656,0.074645,2.6825
282,1.9504,3.0883,0.12489,1.3218,0.074645,2.6668
283,1.4231,0.26145,3.5237,1.3218,2.6323,0.60888
284,1.4231,0.26145,3.5237,2.1725,2.6323,0.60888
285,0.90405,2.1703,1.9557,2.0262,0.23225,3.1839
286,0.90405,0.51226,1.9557,2.0262,0.23225,0.44806
287,0.54226,0.51226,5.0724,6.4045,0.10147,0.44806
288,0.54226,2.4521,1.6463,5.7452,0.97485,1.3661
289,0.83171,0.18886,1.6463,5.7452,0.97485,1.3661
290,0.83171,0.59374,5.7028,5.1386,0.55399,3.0124
291,0.18278,0.15222,1.133,4.7442,0.96293,3.0124
292,0.18278,0.15222,1.6751,1.9502,0.28905,4.4751
293,3.4336,1.2811,0.22714,1.9502,0.28905,2.2498
294,1.2878,0.23788,0.66577,0.49913,2.8461,1.9909
295,1.2878,0.27304,0.66577,3.2564,3.1964,1.1419
296,2.1797,0.27304,3.9976,0.29807,2.0857,1.1419
297,2.1797,4.7272,0.11303,0.29807,3.8795,3.5941
298,2.2821,2.2088,1.0319,0.07209,2.7681,0.71684
299,2.2821,2.2088,1.0319,0.07209,0.065654,1.7712
300,8.0287,1.9079,1.5881,3.2167,0.065654,1.7712
301,7.9171,0.5762,4.8496,1.1622,1.8823,1.4439
302,2.3035,0.5762,2.2216,1.1622,1.8823,0.047244
303,2.3035,0.64418,2.2216,0.099343,1.3422,0.047244
304,4.5751,1.4583,3.6579,0.67558,1.3422,1.8501
305,3.367,0.66976,3.6579,0.67558,0.17918,1.8501
306,0.89148,0.66976,3.0451,0.22457,0.17918,1.5058
307,0.15806,0.64167,0.88719,0.22457,2.2687,1.5058
308,0.15806,0.025685,3.0451,2.6743,1.3416,1.0066
309,1.5046,0.63514,3.0451,2.6743,0.43338,1.0066
310,0.58693,0.63514,0.19517,1.2852,0.43338,2.1177
311,0.58693,0.10852,0.19517,1.5097,0.62847,0.29473
312,0.69651,0.10852,6.7813,1.237,0.62847,0.014136
313,2.6524,0.82219,2.3296,1.237,1.766,0.014136
314,2.6524,0.82219,1.3761,3.1663,1.766,1.7621
